name,awards,university
Adele Goldberg (computer scientist),0,University of Michigan
Andrew V. Goldberg,1,Massachusetts Institute of Technology
Ian Goldberg,0,"University of California, Berkeley"
Oded Goldreich,1,Technion
Shafi Goldwasser,13,Carnegie Mellon University
Gene Golub,0,University of Illinois at Urbana-Champaign
Ian Goodfellow,0,Stanford University
James Gosling,2,University of Calgary
Paul Graham (computer programmer),0,Gateway High School (Pennsylvania)
Susan L. Graham,5,Harvard
Jim Gray (computer scientist),3,"University of California, Berkeley"
Sheila Greibach,0,Radcliffe College
David Gries,7,Bachelor of Science
Bill Gropp,2,Stanford University
Ramanathan V. Guha,0,Indian Institute of Technology Madras
Neil J. Gunther,0,La Trobe University
Nico Habermann,0,Free University of Amsterdam
Eldon C. Hall,0,University of Washington
Wendy Hall,1,The Ellen Wilkinson School for Girls
Margaret Hamilton (software engineer),1,University of Michigan
Richard Hamming,4,University of Chicago
Jiawei Han,0,University of Wisconsin - Madison
Frank Harary,0,Brooklyn College
Brian Harris (translation researcher),0,School of Oriental and African Studies
Juris Hartmanis,1,University of Marburg
Les Hatton,1,"King%27s College, Cambridge"
He Jifeng,0,Fudan University
Eric Hehner,0,Carleton University
Martin Hellman,10,New York University
Gernot Heiser,6,University of Freiburg
James Hendler,0,Yale University
Carl Hewitt,0,MIT
Danny Hillis,2,Massachusetts Institute of Technology
Geoffrey Hinton,9,University of Cambridge
Julia Hirschberg,9,University of Pennsylvania
C. A. R. Hoare,7,University of Oxford
Louis Hodes,0,Bachelor of Science
Betty Holberton,4,University of Pennsylvania
John Henry Holland,2,University of Michigan
Herman Hollerith,3,City College of New York
Gerard Holzmann,1,Delft University of Technology
John Hopcroft,8,Seattle University
Grace Hopper,10,Vassar College
Alston Householder,0,University of Chicago
Paul Hudak,9,Vanderbilt University
David A. Huffman,1,Ohio State University
John Hughes (computer scientist),1,University of Oxford
Roger Hui,1,University of Alberta
Roberto Ierusalimschy,0,Pontifical Catholic University of Rio de Janeiro
Dan Ingalls,5,Harvard University
Mary Jane Irwin,3,University of Illinois at Urbana-Champaign
Kenneth E. Iverson,4,Queen%27s University at Kingston
Ivar Jacobson,0,Chalmers University of Technology
"Anil K. Jain (computer scientist, born 1948)",12,"Indian Institute of Technology, Kanpur"
Ramesh Jain,0,"Indian Institute of Technology, Kharagpur"
David S. Johnson,2,Amherst College
Stephen C. Johnson,0,Columbia University
Cliff Jones (computer scientist),0,University of Oxford
Michael I. Jordan,8,"University of California, San Diego"
Mathai Joseph,1,"Wilson College, Mumbai"
Aravind K. Joshi,0,"College of Engineering, Pune"
Bill Joy,4,University of Michigan
Dan Jurafsky,1,University of California at Berkeley
William Kahan,5,University of Toronto
Robert E. Kahn,12,City College of New York
Avinash Kak,0,University of Madras
David Karger,0,Harvard University
Richard Karp,9,Harvard University
Narendra Karmarkar,0,Indian Institute of Technology Bombay
Ted Kaehler,0,Stanford University
Alan Kay,3,University of Colorado at Boulder
